requirementID,productID,componentID,quantity
1,2,24,88
2,9,23,4
3,7,2,94
4,4,22,49
5,8,11,65
6,7,9,4
7,2,1,55
8,1,27,99
9,3,28,17
10,6,25,33
11,10,2,69
12,5,7,17
13,2,18,68
14,2,13,77
15,2,13,11
16,10,23,94
17,8,21,69
18,4,21,21
19,7,11,94
20,4,10,81
21,2,4,17
22,1,22,90
23,6,26,95
24,1,15,61
25,2,26,18
26,2,11,3
27,5,30,55
28,8,6,55
29,1,24,82
30,1,10,80
31,7,23,100
32,10,1,64
33,2,10,15
34,9,3,54
35,1,1,80
36,1,10,86
37,1,9,36
38,4,9,27
39,1,7,26
40,2,21,97
41,9,19,45
42,5,9,6
43,4,10,33
44,5,22,85
45,3,7,17
46,7,29,84
47,10,11,3
48,5,30,55
49,4,5,25
50,7,5,81
51,2,28,49
52,6,26,3
53,3,5,75
54,10,15,98
55,9,21,10
56,10,20,13
57,6,19,20
58,1,12,27
59,4,19,37
60,9,24,90
61,3,23,90
62,3,6,84
63,1,3,67
64,7,14,78
65,2,5,12
66,7,8,80
67,8,8,17
68,3,21,93
69,10,8,34
70,3,12,77
71,2,11,91
72,4,6,6
73,10,18,30
74,10,29,28
75,7,19,43
76,7,30,90
77,1,7,23
78,7,11,26
79,2,27,56
80,7,4,64
81,4,11,56
82,8,19,90
83,6,24,90
84,2,2,43
85,9,29,87
86,9,2,58
87,5,1,99
88,3,19,73
89,10,14,1
90,9,2,68
91,4,26,51
92,3,12,37
93,8,5,53
94,9,27,86
95,3,12,47
96,9,23,11
97,3,27,29
98,10,23,85
99,7,18,12
100,4,23,76
